artist_name,gender,country
張信哲 (Jeff Chang),Male,TW
BLACKPINK,,KR
SUPER JUNIOR,,KR
S.H.E,,TW
貴族精選,Male,JP
伍佰 & China Blue,,TW
光良 (Michael Wong),Male,MY
林俊傑 (JJ Lin),Male,SG
Kodaline,,IE
D.L 羅時豐 (Daniel Lo),Male,TW
白安 (Ann),Female,TW
Littlesong,,
蔡旻佑 (Evan Yo),Male,TW
Coldplay,,GB
小男孩樂團 (Men Envy Children),,TW
White Noise,,GB
步步驚心主題曲原聲EP,Male,
Katy Perry,Female,US
劉若英 (Rene Liu),Female,TW
傅又宣 (Maggie Fu),Female,HK
BIGBANG TAEYANG,Male,KR
Danny Marquez & Ferry B,Male,GB
Kyary Pamyu Pamyu (きゃりーぱみゅぱみゅ),Female,JP
品冠 (Victor Wong),Male,MY
The Weeknd,Male,CA
Marvin Gaye & Kygo,Male,US
五月天 (Mayday),,TW
謝霆鋒 (Nicholas Tse),Male,HK
黃鴻升 (Alien Huang),Male,TW
HUSH,,US
Pet Shop Boys,,GB
陳大天 (Daniel Chen),,
John Legend,Male,US
A-Lin,Female,TW
花兒 (林佳音),Male,JP
李玉璽 (Dino Lee),,
Westlife,,IE
JUNIEL,Female,KR
Urban Zakapa,,KR
吳克群 (Kenji Wu),Male,TW
SUPER JUNIOR-M,,KR
蔡健雅 (Tanya Chua),Female,SG
Schnappi(Joy),,GB
Brett Eldredge,Male,US
Lorde,Female,NZ
鄒宗翰 (Hans Zou),,
鄭伊健 (Ekin Cheng),Male,HK
ONE OK ROCK,,JP
2013網路票選權威歌曲,,JP
Diana Krall,Female,CA
Kaiser Chiefs,,GB
寶寶水晶音樂,,CN
周杰倫 (Jay Chou),Male,TW
Martin Garrix,Male,NL
楊乃文 (Naiwen Yang),Female,TW
電音E帝國,,US
李翊君,Female,TW
孫燕姿 (Yanzi Sun),Female,SG
滾石金韻民歌百大精選,Male,JP
侯湘婷 (Angel hou),Female,TW
蕭煌奇 (Ricky Hsiao),Male,TW
Yui Aragaki (新垣結衣),Female,JP
Imagine Dragons,,US
林宥嘉 (Yoga Lin),Male,TW
BY2,,SG
Jasmine Thompson,Female,GB
法蘭黛樂團 (Frandé),,TW
ジブリサウンドトラック,,
50 Best Children's Classics,,JP
八三夭 (The Last Day of Summer 831),,TW
Kenny G,Male,US
Secret Garden OST,,NO
BANGTAN BOYS,,US
Armin van Buuren,Male,NL
Calvin Harris,Male,GB
黑錢幫 (G$MOB),Male,DE
李欣芸 (CinCin Lee),Female,TW
海角七號電影原聲帶,Female,JP
孫盛希 (Shi Shi),Female,
David Guetta,Male,FR
孫淑媚 (May sun),Female,TW
Skillet,,US
梁靜茹 (Fish Leong),Female,MY
Alan Silvestri,Male,US
Various Artists,,
証聲音樂圖書館 ECHO MUSIC,,TW
棉花糖 (katncandix2),,TW
Casting Crowns,,US
伍思凱 (Sky Wu),Male,TW
Robin Schulz,Male,DE
王菲 (Faye Wong),Female,HK
王若琳 (Joanna Wang),Female,TW
Girls' Generation (少女時代),,KR
Angel MaMA Story Teller,,DE
Paramore,,US
Solange,Female,US
2006 MP3人氣超強總冠軍,,
Bon Jovi,,US
水晶鋼琴,Female,TW
幸福的孩子愛唱歌,Male,JP
Lady Gaga,Female,US
南方二重唱,,TW
ROY KIM,Female,GB
BOXING樂團,,TW
陳芳語 (Kimberley),Female,TW
San Holo,Male,NL
安妮朵拉樂團 (Anniedora),,TW
Guns N' Roses,,US
Deep Sleep Music Club,,
Pitbull,Male,US
f(x),Not applicable,XW
Boyce Avenue,,US
翁立友,Male,TW
九九,,JP
曹格 (Gary Chaw),Male,MY
小宇-宋念宇,Male,TW
閃靈樂團 (Chthonic),,TW
Yiruma,Male,KR
賴慧如,Female,HK
Timbaland,Male,US
和風輕音樂,Female,JP
J. Cole,Male,US
草蜢 (Grasshopper),,HK
Natalie Cole,Female,US
Albert West,Male,NL
Master's Sun OST,Male,DE
蘇打綠 (Sodagreen),,TW
宮崎駿映畫名曲集,Male,JP
Final State,,GB
ABBA,,SE
Jess Glynne,Female,GB
Savage Garden,,AU
林淑容,Female,TW
郭靜 (Claire Kuo),Female,TW
王大文,Female,HK
黃立行 (Stanley Huang),Male,TW
The Best Love Songs Collection,,US
飛兒樂團 (F.I.R.),,TW
張國榮 (Leslie Cheung),Male,HK
拜爾,Male,JP
王力宏 (Leehom Wang),Male,TW
NCT 127,,KR
小童話大世界,,JP
Baek Z Young,Female,KR
潘安邦,Male,TW
蕭亞軒 (Elva Hsiao),Female,TW
Kygo,Male,NO
Akon,Male,SN
謝宜君,Female,TW
Swifty,Male,US
韋禮安 (William Wei),Male,TW
陳小春 (Jordan Chan),Male,HK
For the Little One,Male,US
T.M.Revolution,Male,JP
莊心妍,Female,CN
Maxi Kingdom,Male,US
Supper Moment,,HK
2010 The Hottest,Male,
San E,,US
元衛覺醒 (Awaking),,TW
黃小楨 (Ze' Hwang),,TW
FTISLAND,,KR
黃雅莉 (Yali Huang),Female,CN
黃征 (Shawn Huang),Male,CN
APRIL,,CA
卓文萱 (Genie Zhuo),Female,TW
Three Days Grace,,CA
蔣薇,Female,CN
Waka Flocka Flame,Male,US
A$AP Mob,,US
蔡小虎,Female,TW
怕胖團 (PA PUN BAND),,TW
蘇芮 (Julie Su),Female,TW
MAJOR LAZER,,JM
浩角翔起,Male,JP
OH MY GIRL,,KR
Andy Williams,Male,US
Hello Nico,Female,DE
GFRIEND,,KR
George Ezra,Male,GB
OneRepublic,,US
Jason Chen,Male,US
Suchmos,,JP
BRIGHT,,US
Frozen,,DE
Roxette,,SE
Joe Satriani,Male,US
辛曉琪 (Winnie Hsin),Female,TW
Flo Rida,Male,US
容祖兒 (Joey Yung),Female,HK
Glee: The Music,,GB
AOA,,KR
Dido,Female,GB
Vivian Tsai,Female,TW
Sleep Baby Sleep,,
Radical Face,Male,US
大自然音樂,Female,JP
陳思安,Male,HK
樊凡,Male,
Johnny Hallyday,Male,FR
寶寶的音樂花園,,CN
Christopher,Male,US
戴佩妮 (Penny Tai),Female,TW
芝麻+龍眼,,
Ayumi Hamasaki (浜崎あゆみ),Female,JP
Celine Dion,Female,CA
甲子慧,Female,HK
陳嘉唯 (Renee Chen),Female,TW
